2025-05-17 20:16:21,763 INFO:Starting square-island computation...
2025-05-17 20:16:21,765 INFO:Saved result for pair (5, 7): 0
2025-05-17 20:16:21,765 INFO:Processed pair (5, 7): 0
2025-05-17 20:16:21,766 INFO:Saved result for pair (11, 13): 0
2025-05-17 20:16:21,766 INFO:Processed pair (11, 13): 0
2025-05-17 20:16:21,768 INFO:Saved result for pair (17, 19): 0
2025-05-17 20:16:21,768 INFO:Processed pair (17, 19): 0
2025-05-17 20:16:21,769 INFO:Saved result for pair (23, 25): 0
2025-05-17 20:16:21,769 INFO:Processed pair (23, 25): 0
2025-05-17 20:16:21,770 INFO:Saved result for pair (29, 31): 16
2025-05-17 20:16:21,770 INFO:Processed pair (29, 31): 16
2025-05-17 20:16:21,771 INFO:Saved result for pair (35, 37): 19
2025-05-17 20:16:21,771 INFO:Processed pair (35, 37): 19
2025-05-17 20:16:21,771 INFO:Saved result for pair (41, 43): 20
2025-05-17 20:16:21,771 INFO:Processed pair (41, 43): 20
2025-05-17 20:16:21,773 INFO:Saved result for pair (47, 49): 23
2025-05-17 20:16:21,773 INFO:Processed pair (47, 49): 23
2025-05-17 20:16:21,774 INFO:Saved result for pair (53, 55): 48
2025-05-17 20:16:21,774 INFO:Processed pair (53, 55): 48
2025-05-17 20:16:21,774 INFO:Saved result for pair (59, 61): 49
2025-05-17 20:16:21,774 INFO:Processed pair (59, 61): 49
2025-05-17 20:16:21,775 INFO:Saved result for pair (65, 67): 53
2025-05-17 20:16:21,775 INFO:Processed pair (65, 67): 53
2025-05-17 20:16:21,775 INFO:Saved result for pair (71, 73): 55
2025-05-17 20:16:21,775 INFO:Processed pair (71, 73): 55
2025-05-17 20:16:21,776 INFO:Saved result for pair (77, 79): 60
2025-05-17 20:16:21,776 INFO:Processed pair (77, 79): 60
2025-05-17 20:16:21,776 INFO:Saved result for pair (83, 85): 62
2025-05-17 20:16:21,776 INFO:Processed pair (83, 85): 62
2025-05-17 20:16:21,777 INFO:Saved result for pair (89, 91): 62
2025-05-17 20:16:21,777 INFO:Processed pair (89, 91): 62
2025-05-17 20:16:21,777 INFO:Saved result for pair (95, 97): 66
2025-05-17 20:16:21,777 INFO:Processed pair (95, 97): 66
2025-05-17 20:16:21,778 INFO:Saved result for pair (101, 103): 69
2025-05-17 20:16:21,778 INFO:Processed pair (101, 103): 69
2025-05-17 20:16:21,779 INFO:Saved result for pair (107, 109): 73
2025-05-17 20:16:21,779 INFO:Processed pair (107, 109): 73
2025-05-17 20:16:21,779 INFO:Saved result for pair (113, 115): 76
2025-05-17 20:16:21,779 INFO:Processed pair (113, 115): 76
2025-05-17 20:16:21,779 INFO:Saved result for pair (119, 121): 77
2025-05-17 20:16:21,780 INFO:Processed pair (119, 121): 77
2025-05-17 20:16:21,780 INFO:Saved result for pair (125, 127): 117
2025-05-17 20:16:21,780 INFO:Processed pair (125, 127): 117
2025-05-17 20:16:21,781 INFO:Saved result for pair (131, 133): 118
2025-05-17 20:16:21,781 INFO:Processed pair (131, 133): 118
2025-05-17 20:16:21,781 INFO:Saved result for pair (137, 139): 123
2025-05-17 20:16:21,781 INFO:Processed pair (137, 139): 123
2025-05-17 20:16:21,782 INFO:Saved result for pair (143, 145): 129
2025-05-17 20:16:21,782 INFO:Processed pair (143, 145): 129
2025-05-17 20:16:21,782 INFO:Saved result for pair (149, 151): 129
2025-05-17 20:16:21,782 INFO:Processed pair (149, 151): 129
2025-05-17 20:16:21,783 INFO:Saved result for pair (155, 157): 134
2025-05-17 20:16:21,783 INFO:Processed pair (155, 157): 134
2025-05-17 20:16:21,783 INFO:Saved result for pair (161, 163): 138
2025-05-17 20:16:21,783 INFO:Processed pair (161, 163): 138
2025-05-17 20:16:21,784 INFO:Saved result for pair (167, 169): 141
2025-05-17 20:16:21,784 INFO:Processed pair (167, 169): 141
2025-05-17 20:16:21,784 INFO:Saved result for pair (173, 175): 188
2025-05-17 20:16:21,784 INFO:Processed pair (173, 175): 188
2025-05-17 20:16:21,785 INFO:Saved result for pair (179, 181): 190
2025-05-17 20:16:21,785 INFO:Processed pair (179, 181): 190
2025-05-17 20:16:21,785 INFO:Saved result for pair (185, 187): 197
2025-05-17 20:16:21,786 INFO:Processed pair (185, 187): 197
2025-05-17 20:16:21,786 INFO:Saved result for pair (191, 193): 199
2025-05-17 20:16:21,786 INFO:Processed pair (191, 193): 199
2025-05-17 20:16:21,787 INFO:Saved result for pair (197, 199): 202
2025-05-17 20:16:21,787 INFO:Processed pair (197, 199): 202
2025-05-17 20:16:21,787 INFO:Saved result for pair (203, 205): 207
2025-05-17 20:16:21,787 INFO:Processed pair (203, 205): 207
2025-05-17 20:16:21,788 INFO:Saved result for pair (209, 211): 211
2025-05-17 20:16:21,788 INFO:Processed pair (209, 211): 211
2025-05-17 20:16:21,788 INFO:Saved result for pair (215, 217): 214
2025-05-17 20:16:21,788 INFO:Processed pair (215, 217): 214
2025-05-17 20:16:21,789 INFO:Saved result for pair (221, 223): 220
2025-05-17 20:16:21,789 INFO:Processed pair (221, 223): 220
2025-05-17 20:16:21,789 INFO:Saved result for pair (227, 229): 225
2025-05-17 20:16:21,789 INFO:Processed pair (227, 229): 225
2025-05-17 20:16:21,790 INFO:Saved result for pair (233, 235): 229
2025-05-17 20:16:21,790 INFO:Processed pair (233, 235): 229
